station name,Station Name Trimmed,Clean Stop Name,Line ID,Line Name,Station ID,stop_lat,stop_lon,rail_distance_from_union_miles,Subway,University_College,University_Nm,GO Station_Line,Park and Ride_Carpool,Terminal Station,Shopping Centre,Parent Station,City
 1| 3663|Zone 38,Zone 38,Zone 38,8,GO Bus,80660,43.57957037,-80.18632094,NA,0,0,,-1,0,0,0,Zone 38,Rockwood
 1| 3665|Zone 61,Zone 61,Zone 61,8,GO Bus,80661,43.87582922,-79.55557787,NA,0,0,,-1,0,0,0,Zone 61,Richmond Hill
 1| 3672|Zone 58,Zone 58,Zone 58,8,GO Bus,80662,,,NA,0,0,,-1,0,0,0,Zone 58,Bolton
 1| 3681|Zone 56,Zone 56,Zone 56,8,GO Bus,80663,,,NA,0,0,,-1,0,0,0,Zone 56,Kleinburg
 1| 3684|Zone 58,Zone 58,Zone 58,8,GO Bus,80664,,,NA,0,0,,-1,0,0,0,Zone 58,Bolton
 1| 3687|Zone 32,Zone 32,Zone 32,8,GO Bus,80665,43.71547924,-79.67565131,NA,0,0,,-1,0,0,0,Zone 32,Bramalea
 1| 3694|Zone 41,Zone 41,Zone 41,8,GO Bus,80666,,,NA,0,0,,-1,0,0,0,Zone 41,Caledon
 1| 3697|Zone 42,Zone 42,Zone 42,8,GO Bus,80667,43.90900967,-80.06253905,NA,0,0,,-1,0,0,0,Zone 42,Caledon
 1| 3702|Zone 23,Zone 23,Zone 23,8,GO Bus,80668,43.58982322,-79.77349796,NA,0,0,,-1,0,0,0,Zone 23,Mississauga
 1| 3704|Zone 23,Zone 23,Zone 23,8,GO Bus,80669,43.58982322,-79.77349796,NA,0,0,,-1,0,0,0,Zone 23,Mississauga
 1| 3705|Zone 24,Zone 24,Zone 24,8,GO Bus,80670,43.561529,-79.84042674,NA,0,0,,-1,0,0,0,Zone 24,Milton
 1| 3708|Zone 22,Zone 22,Zone 22,8,GO Bus,80671,,,NA,0,0,,-1,0,0,0,Zone 22,Mississauga
 1| 3709|Zone 4,Zone 4,Zone 4,8,GO Bus,80672,43.71080617,-79.54824005,NA,0,0,,-1,0,0,0,Zone 4,Etobicoke
 1| 3710|Zone 31,Zone 31,Zone 31,8,GO Bus,80673,43.65470239,-79.56815685,NA,0,0,,-1,0,0,0,Zone 31,Mississauga
 1| 3715|Zone 68,Zone 68,Zone 68,8,GO Bus,80674,44.36751351,-79.66423153,NA,0,0,,-1,0,0,0,Zone 68,Stroud
 1| 3718|Zone 69,Zone 69,Zone 69,8,GO Bus,80675,44.36753151,-79.66423112,NA,0,0,,-1,0,0,0,Zone 69,Barrie
 1| 3719|Zone 67,Zone 67,Zone 67,8,GO Bus,80676,,,NA,0,0,,-1,0,0,0,Zone 67,Churchill
 1| 3722|Zone 68,Zone 68,Zone 68,8,GO Bus,80677,44.36751351,-79.66423153,NA,0,0,,-1,0,0,0,Zone 68,Stroud
 1| 3723|Zone 66,Zone 66,Zone 66,8,GO Bus,80678,44.23987688,-79.59804449,NA,0,0,,-1,0,0,0,Zone 66,Simcoe County
 1| 3726|Zone 67,Zone 67,Zone 67,8,GO Bus,80679,,,NA,0,0,,-1,0,0,0,Zone 67,Churchill
 1| 3729|Zone 65,Zone 65,Zone 65,8,GO Bus,80680,44.12943948,-79.56863507,NA,0,0,,-1,0,0,0,Zone 65,Bradford
 1| 3754|Zone 32,Zone 32,Zone 32,8,GO Bus,80681,43.71547924,-79.67565131,NA,0,0,,-1,0,0,0,Zone 32,Bramalea
