Date,daily_total
2019-05-25,53389
2019-05-26,45015
2019-05-27,223590
2019-05-28,236675
2019-05-29,232321
2019-05-30,237718
2019-05-31,204860
2019-06-01,35103
2019-06-02,37311
2019-06-03,229707
2019-06-04,229268
2019-06-05,228770
2019-06-06,233460
2019-06-07,222299
2019-06-08,44686
2019-06-09,32944
2019-06-10,243170
2019-06-11,237618
2019-06-12,232885
2019-06-13,233043
2019-06-14,207657
2019-06-15,41605
2019-06-16,33215
2019-06-17,330024
2019-06-18,239477
2019-06-19,241511
2019-06-20,232252
2019-06-21,205961
2019-06-22,61755
2019-06-23,49624
2019-06-24,227500
2019-06-25,236900
2019-06-26,240600
2019-06-27,228340
2019-06-28,181756
2019-06-29,46231
2019-06-30,40349
2019-07-01,39141
2019-07-02,214278
2019-07-03,226708
2019-07-04,228940
2019-07-05,198380
2019-07-06,45791
2019-07-07,46916
2019-07-08,227184
2019-07-09,227566
2019-07-10,232533
2019-07-11,238419
2019-07-12,205222
2019-07-13,54173
2019-07-14,49468
2019-07-15,221000
2019-07-16,231418
2019-07-17,239186
2019-07-18,231928
2019-07-19,196452
2019-07-20,47621
2019-07-21,35943
2019-07-22,224960
2019-07-23,238229
2019-07-24,233195
2019-07-25,225191
2019-07-26,214387
2019-07-27,69955
2019-07-28,45381
2019-07-29,221991
2019-07-30,227591
2019-07-31,231337
2019-08-01,226348
2019-08-02,172821
2019-08-03,66314
2019-08-04,36396
2019-08-05,32571
2019-08-06,220147
2019-08-07,228080
2019-08-08,225107
2019-08-09,201876
2019-08-10,70609
2019-08-11,46973
2019-08-12,220727
2019-08-13,238352
2019-08-14,243456
2019-08-15,222919
2019-08-16,222335
2019-08-17,70321
2019-08-18,53540
2019-08-19,231906
2019-08-20,242435
2019-08-21,226884
2019-08-22,238264
2019-08-23,223636
2019-08-24,109669
2019-08-25,63193
2019-08-26,229306
2019-08-27,226464
2019-08-28,244545
2019-08-29,241085
2019-08-30,197765
2019-08-31,89827
2019-09-01,62598
2019-09-02,53101
2019-09-03,218109
2019-09-04,244096
2019-09-05,255126
2019-09-06,242631
2019-09-07,42388
2019-09-08,24035
2019-09-09,244413
2019-09-10,254900
2019-09-11,250530
2019-09-12,256526
2019-09-13,228740
2019-09-14,48260
2019-09-15,35655
2019-09-16,242587
2019-09-17,250604
2019-09-18,248298
2019-09-19,255080
2019-09-20,231297
2019-09-21,46397
2019-09-22,28346
2019-09-23,243974
2019-09-24,250893
2019-09-25,262065
2019-09-26,247007
2019-09-27,235111
2019-09-28,67036
2019-09-29,42436
2019-09-30,236519
2019-10-01,245996
2019-10-02,249190
2019-10-03,250289
2019-10-04,226073
2019-10-05,49555
2019-10-06,35615
2019-10-07,246808
2019-10-08,254755
2019-10-09,251189
2019-10-10,253218
2019-10-11,207347
2019-10-12,44069
2019-10-13,42752
2019-10-14,36954
2019-10-15,249828
2019-10-16,234719
2019-10-17,238874
2019-10-18,218068
2019-10-19,56396
2019-10-20,37626
2019-10-21,242310
2019-10-22,247114
2019-10-23,248330
2019-10-24,248483
2019-10-25,221680
2019-10-26,31613
2019-10-27,16879
2019-10-28,244907
2019-10-29,254382
2019-10-30,252145
2019-10-31,234158
2019-11-01,222711
2019-11-02,40437
2019-11-03,29389
2019-11-04,244003
2019-11-05,256010
2019-11-06,256923
2019-11-07,253048
2019-11-08,219649
2019-11-09,47783
2019-11-10,30465
2019-11-11,166033
2019-11-12,239931
2019-11-13,248818
2019-11-14,244913
2019-11-15,218189
2019-11-16,39320
2019-11-17,41704
2019-11-18,243977
2019-11-19,246873
2019-11-20,251147
2019-11-21,244179
2019-11-22,224414
2019-11-23,44410
2019-11-24,29550
2019-11-25,247242
2019-11-26,256100
2019-11-27,248066
2019-11-28,240339
2019-11-29,216211
2019-11-30,50031
2019-12-01,32348
2019-12-02,222380
2019-12-03,247603
2019-12-04,249760
2019-12-05,244347
2019-12-06,211408
2019-12-07,45317
2019-12-08,26569
2019-12-09,237144
2019-12-10,245401
2019-12-11,242159
2019-12-12,231520
2019-12-13,206411
2019-12-14,40488
2019-12-15,27178
2019-12-16,224151
2019-12-17,234129
2019-12-18,220486
2019-12-19,214235
2019-12-20,193778
2019-12-21,48714
2019-12-22,38028
2019-12-23,144516
2019-12-24,83492
2019-12-25,20607
2019-12-26,30398
2019-12-27,77763
2019-12-28,44417
2019-12-29,29723
2019-12-30,118016
2019-12-31,79364
2020-01-01,21385
2020-01-02,151733
2020-01-03,143747
2020-01-04,39321
2020-01-05,21681
2020-01-06,241330
2020-01-07,242354
2020-01-08,242824
2020-01-09,237529
2020-01-10,215840
2020-01-11,29965
2020-01-12,24414
2020-01-13,241579
2020-01-14,251052
2020-01-15,242373
2020-01-16,247672
2020-01-17,212072
2020-01-18,43684
2020-01-19,26603
2020-01-20,234814
2020-01-21,244276
2020-01-22,251334
2020-01-23,244063
2020-01-24,216559
2020-01-25,36368
2020-01-26,24728
2020-01-27,235784
2020-01-28,244709
2020-01-29,237386
2020-01-30,235583
2020-01-31,210341
2020-02-01,40244
2020-02-02,26192
2020-02-03,240449
2020-02-04,238419
2020-02-05,243346
2020-02-06,221129
2020-02-07,212781
2020-02-08,35430
2020-02-09,22793
2020-02-10,237177
2020-02-11,242372
2020-02-12,239494
2020-02-13,239504
2020-02-14,190257
2020-02-15,38167
2020-02-16,30467
2020-02-17,30585
2020-02-18,230066
2020-02-19,235900
2020-02-20,238568
2020-02-21,215061
2020-02-22,46246
2020-02-23,34661
2020-02-24,236128
2020-02-25,229420
2020-02-26,215063
2020-02-27,210373
2020-02-28,210076
2020-02-29,34249
